"","Display.Name","STATION","Automatic.ID","X15.characters.","Energy.Identification.Code","Function","EIC.Name...Asset.Name","Trading.Agent.ID","EIC.Responsible.Party","EIC.Locality","Last.Request.Date","Contact.Name","Contact.Email","BMU_TYPE","DEMAND_GEN_FLAG","BMRA_FUEL_TYPE","MAX_CAPACITY","NODE"
"1","DNGB21","DNGB","48W000000DNGB21",NA,"48W000000DNGB216","Generation Unit","Dungeness B DNGB21","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","660","DUNG41"
"2","SHOS-1","SHOS","48W000000SHOS-1",NA,"48W000000SHOS.1N","Generation Unit","Shoreham SHOS-1","SCO_POWER","Scottish Power Energy Management Centre","Local","23/09/2014","Ewan Stott, Acting Operational Trading Manager","ewan.stott.@scottishpower.com","GEN","G","CCGT","420","BOLN41"
"3","HEYM11","HEYM1","48W000000HEYM11",NA,"48W000000HEYM11C","Generation Unit","Heysham 1 HEYM11","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","666","HEYS41"
"4","HINB-7","HINB","48W000000HINB-7",NA,"48W000000HINB.77","Generation Unit","Hinkley Point B HINB-7","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","700","HINP41"
"5","HINB-8","HINB","48W000000HINB-8",NA,"48W000000HINB.85","Generation Unit","Hinkley Point B HINB-8","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","700","HINP41"
"6","GRMO-1","GRMO","48W100000GRMO-1",NA,"48W100000GRMO.1N","Generation Unit","Grangemouth GRMO-1","Not used (Dummy ID 13)","Grangemouth CHP Limited","Local","23/09/2014","Ari Kiuru","ari.kiuru@fortum.com","GEN","G","CCGT","144","GRMO21"
"7","HUNB-7","HUNB","48W000000HUNB-7",NA,"48W000000HUNB.79","Generation Unit","Hunterston HUNB-7","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","660","HUER41"
"8","LBAR-1","LBAR","48W000000LBAR-1",NA,"48W000000LBAR.1Y","Generation Unit","Little Barford LBAR-1","Not used (Dummy ID 4)","RWE Generation UK plc","Local","23/09/2014","John Norbury","john.norbury@rwe.com","GEN","G","CCGT","735","EASO41"
"9","MARK-1","MARK","48W000000MARK-1",NA,"48W000000MARK.1D","Generation Unit","Markinch Biomass MARK-1","Not used (Dummy ID 9)","RWE Innogy Markinch Limited","Local","23/09/2014","Andrew Robbins","Andrew.Robbins@rwe.com","GEN","G","BIOMASS","55","GLRO21"
"10","TORN-1","TORN","48W000000TORN-1",NA,"48W000000TORN.1G","Generation Unit","Torness TORN-1","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","685","TORN41"
"11","FASN-4","FASN","48W000000FASN-4",NA,"48W000000FASN.42","Generation Unit","Fasnakyle FASN-4","SSE_GROUP","SSE Energy Supply Ltd","Local","23/09/2014","Martin B MacLeod","martin.macleod@sse.com","GEN","G","NPSHYD","8","FASN11"
"12","PEMB-51","PEMB","48W00000PEMB-51",NA,"48W00000PEMB.51H","Generation Unit","Pembroke Power Station PEMB-51","Not used (Dummy ID 4)","RWE Generation UK plc","Local","23/09/2014","John Norbury","john.norbury@rwe.com","GEN","G","CCGT","445","PEMB41"
"13","TORN-2","TORN","48W000000TORN-2",NA,"48W000000TORN.2E","Generation Unit","Torness TORN-2","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","685","TORN41"
"14","HUMR-1","HUMR","48W100000HUMR-1",NA,"48W100000HUMR.1N","Generation Unit","Immingham CHP LLP HUMR-1","IMM_POWER","Immingham CHP LLP","Local","23/09/2014","Adam Lewis","alewis@vpi-i.com","GEN","G","CCGT","1,240","HUMR41"
"15","HRTL-1","HRTL","48W000000HRTL-1",NA,"48W000000HRTL.16","Generation Unit","Hartlepool HRTL-1","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","666","HATL22"
"16","HEYM28","HEYM2","48W000000HEYM28",NA,"48W000000HEYM28W","Generation Unit","Heysham 2 HEYM28","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","672","HEYS41"
"17","HEYM27","HEYM2","48W000000HEYM27",NA,"48W000000HEYM27Y","Generation Unit","Heysham 2 HEYM27","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","672","HEYS41"
"18","DRAXX-4","DRAXX","48W00000DRAXX-4",15,"48W00000DRAXX.48","Generation Unit","Drax DRAXX-4","DRX_POWER","Drax Power Ltd","Local","23/09/2014","Nicola Garrett","nicola.garrett@drax.com","GEN","G","COAL","645","DRAX42"
"19","SCCL-1","SCCL","48W000000SCCL-1",NA,"48W000000SCCL.1U","Generation Unit","Saltend SCCL-1","SALTENDPS","International Power PLC","Local","23/09/2014","Simon Baxter","simon.baxter@gdfsuez.com","GEN","G","CCGT","400","SAES21"
