"","V1","V2","V3","V4","V5","V6"
"2","MID","APXMIDP",20180101,1,47.27,781.35
"3","MID","APXMIDP",20180101,2,48.57,655.4
"4","MID","APXMIDP",20180101,3,52.32,821.5
"5","MID","APXMIDP",20180101,4,51.18,815.2
"6","MID","APXMIDP",20180101,5,46.08,709.05
"7","MID","APXMIDP",20180101,6,46.01,649.6
"8","MID","APXMIDP",20180101,7,39.24,551.35
"9","MID","APXMIDP",20180101,8,37.6,620.4
"10","MID","APXMIDP",20180101,9,36.62,434.65
"11","MID","APXMIDP",20180101,10,35.65,682.85
"12","MID","APXMIDP",20180101,11,38.28,632.1
"13","MID","APXMIDP",20180101,12,40.21,616.95
"14","MID","APXMIDP",20180101,13,44.55,668.15
"15","MID","APXMIDP",20180101,14,43.72,813.9
"16","MID","APXMIDP",20180101,15,47.66,624.35
"17","MID","APXMIDP",20180101,16,49.47,445.8
"18","MID","APXMIDP",20180101,17,43.89,590.8
"19","MID","APXMIDP",20180101,18,47.66,404.5
"20","MID","APXMIDP",20180101,19,43.31,470.65
"21","MID","APXMIDP",20180101,20,41.53,570.7
"22","MID","APXMIDP",20180101,21,45.01,711.8
"23","MID","APXMIDP",20180101,22,45.04,874
"24","MID","APXMIDP",20180101,23,53.47,622.65
"25","MID","APXMIDP",20180101,24,59.07,728
"26","MID","APXMIDP",20180101,25,57.29,456.55
"27","MID","APXMIDP",20180101,26,58.39,477.4
"28","MID","APXMIDP",20180101,27,56.59,793
"29","MID","APXMIDP",20180101,28,58.24,958.45
"30","MID","APXMIDP",20180101,29,54.55,1137.65
"31","MID","APXMIDP",20180101,30,51.25,1256.05
"32","MID","APXMIDP",20180101,31,57.96,1147.3
"33","MID","APXMIDP",20180101,32,59.5,1028.5
"34","MID","APXMIDP",20180101,33,61.51,1034.5
"35","MID","APXMIDP",20180101,34,63.3,989.95
"36","MID","APXMIDP",20180101,35,61.7,1201.3
"37","MID","APXMIDP",20180101,36,60.02,1278.6
"38","MID","APXMIDP",20180101,37,57.36,1153.85
"39","MID","APXMIDP",20180101,38,54.29,1259.8
"40","MID","APXMIDP",20180101,39,44.99,1058.15
"41","MID","APXMIDP",20180101,40,45.86,1065
"42","MID","APXMIDP",20180101,41,47.7,1145.35
"43","MID","APXMIDP",20180101,42,44.73,1159
"44","MID","APXMIDP",20180101,43,45.79,1414.8
"45","MID","APXMIDP",20180101,44,45.55,1429.6
"46","MID","APXMIDP",20180101,45,44.94,1619.1
"47","MID","APXMIDP",20180101,46,44.63,1456.5
"48","MID","APXMIDP",20180101,47,44.13,576.6
"49","MID","APXMIDP",20180101,48,38.35,454.5
"210","MID","APXMIDP",20180102,1,39.23,339.7
"310","MID","APXMIDP",20180102,2,39.59,414.5
"410","MID","APXMIDP",20180102,3,37.98,422.95
"51","MID","APXMIDP",20180102,4,37.84,391.5
"61","MID","APXMIDP",20180102,5,36.36,378.3
"71","MID","APXMIDP",20180102,6,36.73,425.3
"81","MID","APXMIDP",20180102,7,40.04,439
"91","MID","APXMIDP",20180102,8,42.98,398.45
"101","MID","APXMIDP",20180102,9,41.16,420
"111","MID","APXMIDP",20180102,10,42.01,461.65
"121","MID","APXMIDP",20180102,11,53.24,361.75
"131","MID","APXMIDP",20180102,12,54.15,390
"141","MID","APXMIDP",20180102,13,57.07,523.4
"151","MID","APXMIDP",20180102,14,46.97,759.05
"161","MID","APXMIDP",20180102,15,42.56,636.25
"171","MID","APXMIDP",20180102,16,47.04,656.5
"181","MID","APXMIDP",20180102,17,50.67,670.3
"191","MID","APXMIDP",20180102,18,52.35,688.2
"201","MID","APXMIDP",20180102,19,49.58,608.55
"211","MID","APXMIDP",20180102,20,49.21,822.5
"221","MID","APXMIDP",20180102,21,49.74,841.3
"231","MID","APXMIDP",20180102,22,50.69,998.2
"241","MID","APXMIDP",20180102,23,51.08,680.25
"251","MID","APXMIDP",20180102,24,51.29,655.2
"261","MID","APXMIDP",20180102,25,50.65,760.5
"271","MID","APXMIDP",20180102,26,48.95,789.3
"281","MID","APXMIDP",20180102,27,45.47,838.75
"291","MID","APXMIDP",20180102,28,44.5,938.8
"301","MID","APXMIDP",20180102,29,44.95,868.25
"311","MID","APXMIDP",20180102,30,44.43,994.6
"321","MID","APXMIDP",20180102,31,52.77,1024.95
"331","MID","APXMIDP",20180102,32,54.08,848.05
"341","MID","APXMIDP",20180102,33,52.36,1102.3
"351","MID","APXMIDP",20180102,34,63.1,944.95
"361","MID","APXMIDP",20180102,36,71.32,1331.55
"371","MID","APXMIDP",20180102,37,69.85,1409.95
"381","MID","APXMIDP",20180102,38,63.56,1303.95
"391","MID","APXMIDP",20180102,39,58.6,1153.5
"401","MID","APXMIDP",20180102,40,53.31,979.75
"411","MID","APXMIDP",20180102,41,52.1,835.25
"421","MID","APXMIDP",20180102,42,48.35,943.75
"431","MID","APXMIDP",20180102,43,49.7,1331.15
"441","MID","APXMIDP",20180102,44,46.55,1249.75
"451","MID","APXMIDP",20180102,45,46.24,1464.75
"461","MID","APXMIDP",20180102,46,45.96,2053.6
"471","MID","APXMIDP",20180102,47,47.32,608.55
"481","MID","APXMIDP",20180102,48,42.01,516.15
"212","MID","APXMIDP",20180103,1,44.83,383.05
"312","MID","APXMIDP",20180103,2,46.65,277
"412","MID","APXMIDP",20180103,3,50.01,449.5
"52","MID","APXMIDP",20180103,4,48.22,305.5
"62","MID","APXMIDP",20180103,5,47.5,326
"72","MID","APXMIDP",20180103,6,48.59,498.85
"82","MID","APXMIDP",20180103,7,46.4,379.55
"92","MID","APXMIDP",20180103,8,45.36,319.25
"102","MID","APXMIDP",20180103,9,42.99,319.9
"112","MID","APXMIDP",20180103,10,43.25,401.25
"122","MID","APXMIDP",20180103,11,48.38,366.15
"132","MID","APXMIDP",20180103,12,47.11,609.3
"142","MID","APXMIDP",20180103,13,54.36,581.7
"152","MID","APXMIDP",20180103,14,48.46,1008.7
"162","MID","APXMIDP",20180103,15,50.71,478.5
"172","MID","APXMIDP",20180103,16,54.35,645.9
"182","MID","APXMIDP",20180103,17,42.97,377
"192","MID","APXMIDP",20180103,18,44.23,414
"202","MID","APXMIDP",20180103,19,43.33,451.9
"213","MID","APXMIDP",20180103,20,43.06,569.3
"222","MID","APXMIDP",20180103,21,42.64,685.95
"232","MID","APXMIDP",20180103,22,43.89,802.35
"242","MID","APXMIDP",20180103,23,42.38,1017.8
"252","MID","APXMIDP",20180103,24,42,1086.5
"262","MID","APXMIDP",20180103,25,42.35,1088.85
"272","MID","APXMIDP",20180103,26,42.73,1154.15
"282","MID","APXMIDP",20180103,27,43.14,1069
"292","MID","APXMIDP",20180103,28,42.85,1128.5
"302","MID","APXMIDP",20180103,29,42.82,1033.3
"313","MID","APXMIDP",20180103,30,42.99,1178.3
"322","MID","APXMIDP",20180103,31,49,1487.15
"332","MID","APXMIDP",20180103,32,50.46,1479.15
"342","MID","APXMIDP",20180103,33,49.42,1452.75
"352","MID","APXMIDP",20180103,34,65.33,1034.15
"362","MID","APXMIDP",20180103,35,71.33,1254
"372","MID","APXMIDP",20180103,36,68.22,1166.55
"382","MID","APXMIDP",20180103,37,71.1,1250.25
"392","MID","APXMIDP",20180103,38,62.93,1040.3
"402","MID","APXMIDP",20180103,39,56.46,1039.9
"413","MID","APXMIDP",20180103,40,47.21,850.55
"422","MID","APXMIDP",20180103,41,46.44,898.5
"432","MID","APXMIDP",20180103,42,45.26,1002.8
"442","MID","APXMIDP",20180103,43,45.42,1009.45
"452","MID","APXMIDP",20180103,44,45.55,1074.3
"462","MID","APXMIDP",20180103,45,42.15,1139.9
"472","MID","APXMIDP",20180103,46,41.13,1105.65
"482","MID","APXMIDP",20180103,47,40.37,809.9
"491","MID","APXMIDP",20180103,48,39.09,833.55
"214","MID","APXMIDP",20180104,1,39.31,424.1
"314","MID","APXMIDP",20180104,2,40.72,471.25
"414","MID","APXMIDP",20180104,3,41.62,431.7
"53","MID","APXMIDP",20180104,4,39.62,414.85
"63","MID","APXMIDP",20180104,5,38.88,482
"73","MID","APXMIDP",20180104,6,39.26,430.05
"83","MID","APXMIDP",20180104,7,42.17,630.6
"93","MID","APXMIDP",20180104,8,42.24,507.25
"103","MID","APXMIDP",20180104,9,42.1,637.4
"113","MID","APXMIDP",20180104,10,41.86,586.15
"123","MID","APXMIDP",20180104,11,42.08,565.45
"133","MID","APXMIDP",20180104,12,41.97,583.3
"143","MID","APXMIDP",20180104,13,49.45,1211.25
"153","MID","APXMIDP",20180104,14,43.88,1042.2
"163","MID","APXMIDP",20180104,15,45.84,893.3
"173","MID","APXMIDP",20180104,16,45.5,495.15
"183","MID","APXMIDP",20180104,17,42.3,441.45
"193","MID","APXMIDP",20180104,18,41.22,590.35
"203","MID","APXMIDP",20180104,19,43.93,726.65
"215","MID","APXMIDP",20180104,20,43.24,831.7
"223","MID","APXMIDP",20180104,21,42.3,1080.85
"233","MID","APXMIDP",20180104,22,42.51,1363.5
"243","MID","APXMIDP",20180104,23,42.21,1823.6
"253","MID","APXMIDP",20180104,24,42.93,1864.75
"263","MID","APXMIDP",20180104,25,42.63,1891.5
"273","MID","APXMIDP",20180104,26,42.39,2107.25
"283","MID","APXMIDP",20180104,27,41.15,1708.4
"293","MID","APXMIDP",20180104,28,41.06,1754.1
"303","MID","APXMIDP",20180104,29,41.28,1803.25
"315","MID","APXMIDP",20180104,30,41.59,1785.95
"323","MID","APXMIDP",20180104,31,43.51,1058
"333","MID","APXMIDP",20180104,32,45.4,725.1
"343","MID","APXMIDP",20180104,33,43.2,985.85
"353","MID","APXMIDP",20180104,34,64.09,1137
"363","MID","APXMIDP",20180104,35,64.04,1274.75
"373","MID","APXMIDP",20180104,36,66.4,1508.9
"383","MID","APXMIDP",20180104,37,63.64,1372.45
"393","MID","APXMIDP",20180104,38,62.2,1187.95
"403","MID","APXMIDP",20180104,39,54.65,1403.45
"415","MID","APXMIDP",20180104,40,52.36,1118.45
"423","MID","APXMIDP",20180104,41,51.61,1018.05
"433","MID","APXMIDP",20180104,42,49.07,1318.8
"443","MID","APXMIDP",20180104,43,48.49,1246.15
"453","MID","APXMIDP",20180104,44,45.72,1195.05
"463","MID","APXMIDP",20180104,45,45.03,1691.25
"473","MID","APXMIDP",20180104,46,44.65,1775.45
"483","MID","APXMIDP",20180104,47,42.14,546
"492","MID","APXMIDP",20180104,48,42.45,426.35
"216","MID","APXMIDP",20180105,1,47.34,194.15
"316","MID","APXMIDP",20180105,2,51.09,154.2
"416","MID","APXMIDP",20180105,3,49.72,276.75
"54","MID","APXMIDP",20180105,4,47.4,368.35
"64","MID","APXMIDP",20180105,5,47.94,263.35
"74","MID","APXMIDP",20180105,6,48.56,221.4
"84","MID","APXMIDP",20180105,7,45.39,177.2
"94","MID","APXMIDP",20180105,8,43.7,240.6
"104","MID","APXMIDP",20180105,9,43.67,240.2
"114","MID","APXMIDP",20180105,10,44.1,228.35
"124","MID","APXMIDP",20180105,11,45.56,227.9
"134","MID","APXMIDP",20180105,12,44.89,357.5
"144","MID","APXMIDP",20180105,13,49.84,725.65
"154","MID","APXMIDP",20180105,14,43.75,657.05
"164","MID","APXMIDP",20180105,15,44.14,692.65
"174","MID","APXMIDP",20180105,16,45.39,564.4
"184","MID","APXMIDP",20180105,17,42.68,492
"194","MID","APXMIDP",20180105,18,45.04,555.65
"204","MID","APXMIDP",20180105,19,47.56,856.1
"217","MID","APXMIDP",20180105,20,48.46,852.4
"224","MID","APXMIDP",20180105,21,49.21,1090.35
"234","MID","APXMIDP",20180105,22,48.69,997.25
"244","MID","APXMIDP",20180105,23,48.44,1346.8
"254","MID","APXMIDP",20180105,24,48.09,1563.25
"264","MID","APXMIDP",20180105,25,48.2,1662.75
"274","MID","APXMIDP",20180105,26,47.77,1889.35
"284","MID","APXMIDP",20180105,27,47.64,2111.55
"294","MID","APXMIDP",20180105,28,47.75,2224.65
"304","MID","APXMIDP",20180105,29,47.85,2183.6
"317","MID","APXMIDP",20180105,30,47.45,2246.35
"324","MID","APXMIDP",20180105,31,59.17,1262
"334","MID","APXMIDP",20180105,32,57.76,1520.85
"344","MID","APXMIDP",20180105,33,61.73,1477
"354","MID","APXMIDP",20180105,34,94.16,1560.85
"364","MID","APXMIDP",20180105,35,97.5,1794.35
"374","MID","APXMIDP",20180105,36,97.01,1924.35
"384","MID","APXMIDP",20180105,37,89.33,1982
"394","MID","APXMIDP",20180105,38,77.47,1837.5
"404","MID","APXMIDP",20180105,39,58.07,1518.85
"417","MID","APXMIDP",20180105,40,54.58,1274.5
"424","MID","APXMIDP",20180105,41,57.31,1431.85
"434","MID","APXMIDP",20180105,42,52.56,1510.6
"444","MID","APXMIDP",20180105,43,51.53,1484.15
"454","MID","APXMIDP",20180105,44,52.33,1157
"464","MID","APXMIDP",20180105,45,52.68,1123.3
"474","MID","APXMIDP",20180105,46,54.33,1173
"484","MID","APXMIDP",20180105,47,54.8,863.9
"493","MID","APXMIDP",20180105,48,55.51,600.9
"218","MID","APXMIDP",20180106,1,58.13,584.9
"318","MID","APXMIDP",20180106,2,58.41,656.4
"418","MID","APXMIDP",20180106,3,56.83,549.15
"55","MID","APXMIDP",20180106,4,55.05,398.4
"65","MID","APXMIDP",20180106,5,52.82,722.4
"75","MID","APXMIDP",20180106,6,51.97,739.3
"85","MID","APXMIDP",20180106,7,49.42,484.6
"95","MID","APXMIDP",20180106,8,43.76,395.9
"105","MID","APXMIDP",20180106,9,42.91,416.1
"115","MID","APXMIDP",20180106,10,41.95,535.9
"125","MID","APXMIDP",20180106,11,40.02,549
"135","MID","APXMIDP",20180106,12,39.61,602.15
"145","MID","APXMIDP",20180106,13,42.55,553.95
"155","MID","APXMIDP",20180106,14,41.89,608.6
